keyword,suggestions,semantic_match,related
epidemic,"['infect', 'disease', 'vaccine', 'obese', 'disorder', 'measles', 'survivor', 'aids', 'flu', 'infection']","['vaccine', 'obese', 'measles', 'survivor']","['infect', 'disease', 'vaccine', 'obese', 'disorder', 'measles', 'survivor', 'aids', 'flu', 'infection']"
geyser,['smoker'],['smoker'],['smoker']
finality,"['closure', 'fate', 'die']",[],"['closure', 'fate', 'die']"
ensure,[],[],[]
oral,"['hygiene', 'dental', 'go down', 'examination', 'stroke', 'dentist']","['dental', 'dentist']","['hygiene', 'dental', 'go down', 'examination', 'stroke', 'dentist']"
willpower,"['constitution', 'stamina', 'psyche', 'sanity', 'endurance']",[],"['constitution', 'stamina', 'psyche', 'sanity', 'endurance']"
aids,"['disease', 'immune', 'vaccine', 'syndrome', 'cure', 'prevention', 'treatment', 'aids', 'cancer', 'infection', 'immunity', 'risk', 'infect', 'vaccination', 'gene']","['vaccine', 'cancer', 'vaccination']","['disease', 'immune', 'vaccine', 'syndrome', 'cure', 'prevention', 'treatment', 'aids', 'cancer', 'infection', 'immunity', 'risk', 'infect', 'vaccination', 'gene']"
booze,"['alcoholic', 'alcoholism', 'woozy']",[],"['alcoholic', 'alcoholism', 'woozy']"
endurance,"['stamina', 'willpower', 'vigor', 'vitality', 'lasting', 'libido', 'ageless', 'hiker', 'runner', 'jog']",['hiker'],"['stamina', 'willpower', 'vigor', 'vitality', 'lasting', 'libido', 'ageless', 'hiker', 'runner', 'jog']"
limited,"['lifestyle', 'premium']",[],"['lifestyle', 'premium']"
asthma,"['smog', 'cortisone', 'steroid', 'stethoscope', 'lung']","['smog', 'stethoscope', 'lung']","['smog', 'cortisone', 'steroid', 'stethoscope', 'lung']"
fingernail,[],[],[]
failing,"['worse', 'world']",['world'],"['worse', 'world']"
improve,"['improvement', 'recover', 'worsen', 'do well', 'prosper', 'heal', 'remedy', 'restore', 'worse', 'osmosis', 'promote', 'critical', 'cleanse', 'benefit', 'learning', 'recovery']",[],"['improvement', 'recover', 'worsen', 'do well', 'prosper', 'heal', 'remedy', 'restore', 'worse', 'osmosis', 'promote', 'critical', 'cleanse', 'benefit', 'learning', 'recovery']"
luxury,"['spa', 'richness', 'premium', 'crystal', 'lifestyle', 'vegan', 'wealth', 'happiness', 'air conditioning', 'fine']","['spa', 'crystal', 'vegan']","['spa', 'richness', 'premium', 'crystal', 'lifestyle', 'vegan', 'wealth', 'happiness', 'air conditioning', 'fine']"
bran,"['fibre', 'constipation', 'laxative', 'climber', 'nutritious']","['laxative', 'climber']","['fibre', 'constipation', 'laxative', 'climber', 'nutritious']"
goodness,"['wellbeing', 'wellness', 'bless', 'beneficial', 'patient', 'ethics', 'benefit', 'angel']",[],"['wellbeing', 'wellness', 'bless', 'beneficial', 'patient', 'ethics', 'benefit', 'angel']"
pharmacy,"['chemist', 'medicine', 'drug', 'insulin', 'cortisone', 'treatment', 'hygiene', 'diagnose', 'antiseptic', 'physician']","['chemist', 'medicine', 'drug', 'antiseptic', 'physician']","['chemist', 'medicine', 'drug', 'insulin', 'cortisone', 'treatment', 'hygiene', 'diagnose', 'antiseptic', 'physician']"
angel,"['aura', 'bless', 'protector', 'ageless', 'goodness', 'charity', 'nurture']",['protector'],"['aura', 'bless', 'protector', 'ageless', 'goodness', 'charity', 'nurture']"
chromosome,"['gene', 'genetics']",[],"['gene', 'genetics']"
tampon,[],[],[]
therapy,"['psychologist', 'psychiatrist', 'gene', 'therapist', 'hormone', 'mental health', 'psychiatry', 'massage', 'physiotherapist', 'treatment', 'psyche', 'mental illness', 'physiology', 'closure', 'genetics', 'spa', 'cope', 'caregiver', 'improve', 'schizophrenia']","['psychiatrist', 'psychiatry', 'massage', 'physiotherapist', 'spa', 'medication', 'sunlight']","['psychologist', 'psychiatrist', 'gene', 'therapist', 'hormone', 'mental health', 'psychiatry', 'massage', 'physiotherapist', 'treatment', 'psyche', 'mental illness', 'physiology', 'closure', 'genetics', 'spa', 'cope', 'caregiver', 'improve', 'schizophrenia', 'syndrome', 'disorder', 'wellness', 'steroid', 'psychosis', 'sickness', 'medication', 'recovery', 'sunlight']"
disease,"['epidemic', 'infect', 'syndrome', 'infection', 'aids', 'immunity', 'diagnose', 'measles', 'cancer', 'cure', 'immune', 'sickness', 'leukemia', 'diabetes', 'vaccination', 'alcoholism', 'vaccine', 'prevention', 'ill', 'schizophrenia']","['measles', 'cancer', 'leukemia', 'vaccination', 'vaccine', 'thyroid', 'asthma', 'liver', 'kidney', 'clinic']","['epidemic', 'infect', 'syndrome', 'infection', 'aids', 'immunity', 'diagnose', 'measles', 'cancer', 'cure', 'immune', 'sickness', 'leukemia', 'diabetes', 'vaccination', 'alcoholism', 'vaccine', 'prevention', 'ill', 'schizophrenia', 'disorder', 'thyroid', 'microbe', 'asthma', 'alcoholic', 'liver', 'stroke', 'heart attack', 'kidney', 'flu', 'lymph', 'anemia', 'condition', 'psychosis', 'clinic', 'blood pressure', 'lung', 'disinfectant', 'sanitation', 'mental illness', 'cyst', 'ulcer', 'antibiotic', 'discharge', 'insulin', 'genetics', 'antidote', 'injection', 'echidna', 'recovery']"
calorie,"['glucose', 'vegetable']",['vegetable'],"['glucose', 'vegetable']"
grave,"['alive', 'die', 'citation']",[],"['alive', 'die', 'citation']"
drugstore,"['pharmacist', 'pick up']",[],"['pharmacist', 'pick up']"
schizophrenia,"['mental illness', 'psychosis', 'mental health', 'spastic', 'psychiatry', 'mental']",['psychiatry'],"['mental illness', 'psychosis', 'mental health', 'spastic', 'psychiatry', 'mental']"
antidote,"['cure', 'insulin']",[],"['cure', 'insulin']"
first aid,"['aid', 'medic', 'emergency', 'recover', 'heal', 'antiseptic', 'heart attack', 'injure']","['medic', 'antiseptic']","['aid', 'medic', 'emergency', 'recover', 'heal', 'antiseptic', 'heart attack', 'injure']"
tummy,"['intestine', 'constipation', 'anatomy', 'medical']",['intestine'],"['intestine', 'constipation', 'anatomy', 'medical']"
ethics,"['vain', 'goodness', 'training']",[],"['vain', 'goodness', 'training']"
jogging,"['running', 'sweatpants', 'walking', 'jogger', 'runner', 'walker', 'yoghurt']","['sweatpants', 'walking', 'jogger', 'walker', 'yoghurt', 'run']","['running', 'sweatpants', 'walking', 'jogger', 'runner', 'walker', 'yoghurt']"
aerobics,"['workout', 'work out', 'yoga']",['yoga'],"['workout', 'work out', 'yoga']"
sector,['services'],[],['services']
tangerine,['nicotine'],['nicotine'],['nicotine']
citation,[],[],[]
dentist,"['tooth', 'floss', 'teeth', 'dental', 'toothbrush', 'oral', 'toothpick', 'doctor', 'woozy', 'assistant', 'healthcare', 'provider', 'hygiene', 'clinic', 'calcium', 'hospital', 'nitrogen', 'surgery']","['tooth', 'floss', 'teeth', 'dental', 'toothpick', 'doctor', 'assistant', 'provider', 'clinic', 'calcium']","['tooth', 'floss', 'teeth', 'dental', 'toothbrush', 'oral', 'toothpick', 'doctor', 'woozy', 'assistant', 'healthcare', 'provider', 'hygiene', 'clinic', 'calcium', 'hospital', 'nitrogen', 'surgery']"
scrubs,"['nurse', 'medical', 'patient', 'surgeon', 'nursing', 'coma', 'surgery']","['nurse', 'surgeon', 'coma']","['nurse', 'medical', 'patient', 'surgeon', 'nursing', 'coma', 'surgery']"
critical,"['damage', 'essential', 'discharge', 'emergency']",[],"['damage', 'essential', 'discharge', 'emergency']"
caffeine,"['pick up', 'drug', 'nicotine']","['drug', 'nicotine']","['pick up', 'drug', 'nicotine']"
rain forest,[],[],[]
gift,"['benefit', 'bless', 'charity', 'providence', 'provider', 'thin']","['providence', 'provider']","['benefit', 'bless', 'charity', 'providence', 'provider', 'thin']"
h,['heal'],[],['heal']
psychosis,"['schizophrenia', 'mental illness', 'cope', 'state of mind', 'syndrome', 'mental health', 'breakdown', 'psychiatry']",['psychiatry'],"['schizophrenia', 'mental illness', 'cope', 'state of mind', 'syndrome', 'mental health', 'breakdown', 'psychiatry']"
health,"['wellbeing', 'fitness', 'sickness', 'vitamin', 'vitality', 'blood pressure', 'mental', 'hygiene', 'medicine', 'condition', 'vaccination', 'constitution', 'prevention', 'cholesterol', 'clinic', 'recovery', 'recover', 'vigor', 'nourishment', 'insurance']","['fitness', 'medicine', 'vaccination', 'cholesterol', 'clinic', 'doctor', 'vaccine', 'insured', 'thyroid', 'juicer']","['wellbeing', 'fitness', 'sickness', 'vitamin', 'vitality', 'blood pressure', 'mental', 'hygiene', 'medicine', 'condition', 'vaccination', 'constitution', 'prevention', 'cholesterol', 'clinic', 'recovery', 'recover', 'vigor', 'nourishment', 'insurance', 'doctor', 'sanitation', 'physiology', 'lifestyle', 'sanity', 'wealth', 'amino acid', 'nourish', 'cure', 'medical', 'nursing', 'vaccine', 'insured', 'nutritious', 'thyroid', 'immunity', 'juicer', 'antibiotic', 'vegetarian', 'jogging', 'stamina', 'physiotherapist', 'diet', 'ill', 'drug', 'prosperity', 'pharmacy', 'exercise', 'heath', 'supplement']"
pill,"['birth control', 'contraception', 'supplement', 'medicine', 'dose', 'vitamin', 'antibiotic', 'laxative', 'pharmacy', 'hormone', 'remedy', 'antidote', 'protein', 'fibre', 'sanity', 'treatment', 'steroid', 'parsley', 'sickness', 'blood pressure']","['medicine', 'antibiotic', 'drug', 'laxative', 'pharmacy', 'antidote', 'protein', 'parsley', 'calcium']","['birth control', 'contraception', 'supplement', 'medicine', 'dose', 'vitamin', 'antibiotic', 'laxative', 'pharmacy', 'hormone', 'remedy', 'antidote', 'protein', 'fibre', 'sanity', 'treatment', 'steroid', 'parsley', 'sickness', 'blood pressure', 'sick', 'calcium', 'depression']"
regime,"['cleansing', 'diet', 'exercise']",[],"['cleansing', 'diet', 'exercise']"
sunlight,"['sunscreen', 'vitamin']",[],"['sunscreen', 'vitamin']"
fifty,[],[],[]
go down,[],[],[]
lifestyle,"['well-being', 'vegan', 'mobility', 'improve', 'wellness', 'living']",['vegan'],"['well-being', 'vegan', 'mobility', 'improve', 'wellness', 'living']"
fibre,[],[],[]
heart attack,"['stroke', 'cholesterol', 'stoke', 'lipid', 'cortisone', 'cyst', 'fatty']","['cholesterol', 'cyst', 'fatty']","['stroke', 'cholesterol', 'stoke', 'lipid', 'cortisone', 'cyst', 'fatty']"
cleansing,"['sanitation', 'antibiotic', 'hygiene', 'sauna']","['antibiotic', 'sauna']","['sanitation', 'antibiotic', 'hygiene', 'sauna']"
brave,"['risk', 'climber', 'protector', 'survivor', 'athlete', 'heart']","['climber', 'protector', 'survivor', 'athlete', 'heart']","['risk', 'climber', 'protector', 'survivor', 'athlete', 'heart']"
riches,"['prosperity', 'valuable', 'providence', 'prosper', 'crystal', 'luxury']","['providence', 'crystal']","['prosperity', 'valuable', 'providence', 'prosper', 'crystal', 'luxury']"
calcium,"['vitamin', 'yogurt', 'supplement', 'vegetarian', 'toothbrush']","['yogurt', 'vegetarian']","['vitamin', 'yogurt', 'supplement', 'vegetarian', 'toothbrush']"
juice,"['grapefruit', 'juicer', 'lime', 'pomegranate', 'smoothie', 'cleansing', 'orange juice', 'carrot', 'pear', 'fruit', 'apple', 'aloe', 'tangerine', 'blueberry', 'vegetable', 'decline', 'vitality', 'enzyme', 'steroid', 'fiber']","['grapefruit', 'juicer', 'lime', 'pomegranate', 'orange juice', 'carrot', 'pear', 'fruit', 'apple', 'tangerine']","['grapefruit', 'juicer', 'lime', 'pomegranate', 'smoothie', 'cleansing', 'orange juice', 'carrot', 'pear', 'fruit', 'apple', 'aloe', 'tangerine', 'blueberry', 'vegetable', 'decline', 'vitality', 'enzyme', 'steroid', 'fiber', 'tonic', 'vitamin', 'organic', 'blender', 'greens', 'sick']"
eternal,"['lasting', 'infinite', 'die', 'life', 'well', 'learning']",[],"['lasting', 'infinite', 'die', 'life', 'well', 'learning']"
provide,"['provision', 'ensure', 'nourish', 'providence', 'services', 'succor', 'healthcare', 'advocate', 'provider', 'protector', 'nourishment', 'aid', 'produce']","['providence', 'advocate', 'provider', 'protector']","['provision', 'ensure', 'nourish', 'providence', 'services', 'succor', 'healthcare', 'advocate', 'provider', 'protector', 'nourishment', 'aid', 'produce']"
ulcer,['oral'],[],['oral']
insurance,"['assurance', 'insure', 'healthcare', 'provider', 'premium', 'benefit', 'insured', 'dental', 'health', 'physiotherapist', 'social security', 'damage', 'risk', 'valuable', 'pharmacy', 'medical', 'heath', 'beneficial', 'life', 'cure']","['provider', 'insured', 'dental', 'physiotherapist', 'social security', 'pharmacy', 'drug', 'medication']","['assurance', 'insure', 'healthcare', 'provider', 'premium', 'benefit', 'insured', 'dental', 'health', 'physiotherapist', 'social security', 'damage', 'risk', 'valuable', 'pharmacy', 'medical', 'heath', 'beneficial', 'life', 'cure', 'drug', 'medication']"
bondage,[],[],[]
delicate,"['fine', 'crystal', 'surgery']",['crystal'],"['fine', 'crystal', 'surgery']"
lymph,[],[],[]
fitness,"['aerobics', 'wellness', 'work out', 'exercise', 'jogging', 'physique', 'fit', 'jogger', 'training', 'vigor', 'physiology', 'activity', 'well-being', 'cyclist', 'stamina', 'athletics', 'treadmill', 'hiker', 'constitution', 'heartbeat']","['physique', 'jogger', 'cyclist', 'hiker', 'walker', 'run', 'protein', 'sport', 'climber', 'bicycle']","['aerobics', 'wellness', 'work out', 'exercise', 'jogging', 'physique', 'fit', 'jogger', 'training', 'vigor', 'physiology', 'activity', 'well-being', 'cyclist', 'stamina', 'athletics', 'treadmill', 'hiker', 'constitution', 'heartbeat', 'walker', 'run', 'protein', 'heath', 'amino acid', 'mobility', 'stealth', 'climber', 'hydrate', 'regime', 'steroid', 'bicycle', 'recover', 'diet', 'athlete', 'spent', 'endurance', 'blood pressure', 'cycling', 'mental', 'swim', 'weight', 'yoga']"
athletics,"['sweatpants', 'walker', 'endurance', 'running', 'stamina', 'training']","['sweatpants', 'walker']","['sweatpants', 'walker', 'endurance', 'running', 'stamina', 'training']"
pituitary,['thyroid'],['thyroid'],['thyroid']
measles,"['vaccination', 'vaccine', 'disease']","['vaccination', 'vaccine']","['vaccination', 'vaccine', 'disease']"
system,"['immune', 'lymph', 'healthcare', 'social security', 'failing', 'immunity', 'socialism', 'mandate', 'malfunction', 'regime', 'sector', 'welfare', 'liver', 'genetics', 'organs']","['social security', 'liver', 'organs']","['immune', 'lymph', 'healthcare', 'social security', 'failing', 'immunity', 'socialism', 'mandate', 'malfunction', 'regime', 'sector', 'welfare', 'liver', 'genetics', 'organs']"
yoghurt,[],[],[]
disinfectant,"['cleansing', 'hygiene']",[],"['cleansing', 'hygiene']"
immune,"['immunity', 'lymph', 'prevention', 'recover', 'aids', 'disease', 'vaccine']",['vaccine'],"['immunity', 'lymph', 'prevention', 'recover', 'aids', 'disease', 'vaccine']"
prosperity,"['ensure', 'well-being']",[],"['ensure', 'well-being']"
turnip,"['leek', 'parsley', 'vegetable']","['leek', 'parsley', 'vegetable']","['leek', 'parsley', 'vegetable']"
brown sugar,[],[],[]
artery,"['aorta', 'cholesterol', 'heart attack', 'vain', 'pulse']","['aorta', 'cholesterol']","['aorta', 'cholesterol', 'heart attack', 'vain', 'pulse']"
injection,"['insulin', 'cortisone', 'vaccination', 'vaccine', 'hormone', 'immunity', 'steroid', 'veterinarian', 'antidote', 'prevention', 'epidemic', 'immune', 'antibiotic', 'birth control', 'cure', 'medic', 'doctor']","['vaccination', 'vaccine', 'antidote', 'antibiotic', 'medic', 'doctor']","['insulin', 'cortisone', 'vaccination', 'vaccine', 'hormone', 'immunity', 'steroid', 'veterinarian', 'antidote', 'prevention', 'epidemic', 'immune', 'antibiotic', 'birth control', 'cure', 'medic', 'doctor']"
worry,"['crisis', 'problem', 'risk', 'scare', 'failing', 'complication', 'prevention', 'inspection', 'mental health', 'ulcer', 'psychosis', 'heart attack', 'diabetes', 'sick', 'depression']",['ulcer'],"['crisis', 'problem', 'risk', 'scare', 'failing', 'complication', 'prevention', 'inspection', 'mental health', 'ulcer', 'psychosis', 'heart attack', 'diabetes', 'sick', 'depression']"
gas,"['nitrogen', 'premium', 'smog', 'intestine', 'enzyme', 'discharge', 'detector', 'diet', 'gluten', 'thermometer']","['smog', 'intestine', 'gluten', 'thermometer']","['nitrogen', 'premium', 'smog', 'intestine', 'enzyme', 'discharge', 'detector', 'diet', 'gluten', 'thermometer']"
insured,[],[],[]
promote,"['advocate', 'prevention']",['advocate'],"['advocate', 'prevention']"
risk,"['insurance', 'frisk', 'complication', 'beneficial', 'insured', 'immunity', 'climber', 'cyclist', 'hospital']","['frisk', 'insured', 'climber', 'cyclist', 'hospital']","['insurance', 'frisk', 'complication', 'beneficial', 'insured', 'immunity', 'climber', 'cyclist', 'hospital']"
intestine,"['colon', 'hernia', 'organs', 'constipation']","['colon', 'organs']","['colon', 'hernia', 'organs', 'constipation']"
hazard,['evacuate'],['evacuate'],['evacuate']
